iter	Passed	Remaining
970	7475	7922
971	7483	7914
972	7491	7907
973	7498	7898
974	7505	7890
975	7513	7882
976	7521	7875
977	7528	7866
978	7534	7858
979	7541	7849
980	7548	7840
981	7555	7832
982	7562	7824
983	7569	7815
984	7577	7807
985	7584	7799
986	7591	7791
987	7599	7783
988	7606	7775
989	7613	7767
990	7621	7759
991	7628	7751
992	7635	7742
993	7642	7735
994	7649	7726
995	7657	7719
996	7664	7710
997	7671	7702
998	7677	7692
999	7685	7685
1000	7692	7677
1001	7699	7668
1002	7707	7661
1003	7714	7653
1004	7722	7645
1005	7730	7638
1006	7737	7629
1007	7744	7621
1008	7752	7614
1009	7758	7604
1010	7765	7596
1011	7772	7588
1012	7779	7580
1013	7786	7571
1014	7794	7563
1015	7801	7556
1016	7808	7547
1017	7815	7538
1018	7822	7530
1019	7829	7522
1020	7836	7514
1021	7844	7506
1022	7850	7497
1023	7857	7489
1024	7864	7480
1025	7871	7472
1026	7878	7464
1027	7887	7457
1028	7893	7448
1029	7901	7441
1030	7909	7434
1031	7917	7426
1032	7925	7418
1033	7931	7410
1034	7939	7402
1035	7945	7393
1036	7953	7385
1037	7960	7377
1038	7968	7369
1039	7975	7361
1040	7982	7354
1041	7990	7346
1042	7997	7338
1043	8005	7330
1044	8012	7322
1045	8020	7314
1046	8028	7307
1047	8034	7298
1048	8042	7290
1049	8049	7282
1050	8056	7274
1051	8063	7266
1052	8071	7259
1053	8078	7251
1054	8086	7243
1055	8092	7234
1056	8100	7226
1057	8106	7218
1058	8113	7209
1059	8120	7201
1060	8127	7192
1061	8134	7184
1062	8141	7176
1063	8148	7168
1064	8155	7160
1065	8163	7152
1066	8170	7144
1067	8177	7136
1068	8184	7127
1069	8191	7119
1070	8198	7111
1071	8205	7103
1072	8212	7095
1073	8219	7087
1074	8226	7078
1075	8234	7070
1076	8241	7063
1077	8249	7055
1078	8255	7047
1079	8263	7039
1080	8270	7031
1081	8277	7022
1082	8285	7015
1083	8291	7006
1084	8298	6998
1085	8304	6989
1086	8311	6980
1087	8318	6972
1088	8324	6964
1089	8331	6955
1090	8338	6947
1091	8346	6939
1092	8352	6931
1093	8359	6922
1094	8366	6914
1095	8372	6906
1096	8379	6897
1097	8386	6889
1098	8392	6880
1099	8400	6873
1100	8407	6864
1101	8414	6856
1102	8422	6849
1103	8428	6840
1104	8435	6832
1105	8442	6824
1106	8449	6816
1107	8456	6808
1108	8464	6800
1109	8471	6792
1110	8478	6784
1111	8485	6775
1112	8491	6767
1113	8498	6759
1114	8506	6751
1115	8513	6743
1116	8520	6735
1117	8527	6727
1118	8534	6719
1119	8542	6711
1120	8549	6703
1121	8556	6695
1122	8564	6688
1123	8570	6679
1124	8578	6671
1125	8585	6663
1126	8592	6656
1127	8601	6649
1128	8607	6640
1129	8615	6632
1130	8622	6624
1131	8629	6616
