iter	MultiClass
1311	0.6296818179
1312	0.6296664919
1313	0.6296458839
1314	0.6295995666
1315	0.6295658981
1316	0.6295398351
1317	0.629472575
1318	0.6294272647
1319	0.6294051934
1320	0.6293669964
1321	0.62933399
1322	0.6293022529
1323	0.6292643824
1324	0.6292369543
1325	0.6292131132
1326	0.6291767133
1327	0.6291562553
1328	0.6291160668
1329	0.6290735422
1330	0.6290450758
1331	0.6290114694
1332	0.6289853677
1333	0.6289373281
1334	0.6288922065
1335	0.6288502231
1336	0.6288344116
1337	0.6287818561
1338	0.6287346873
1339	0.6287026408
1340	0.6286792256
1341	0.6286493371
1342	0.6286198122
1343	0.6285895754
1344	0.6285648865
1345	0.6285376326
1346	0.6284958111
1347	0.6284579764
1348	0.628420129
1349	0.6283607657
1350	0.6283075178
1351	0.6282798707
1352	0.6282492093
1353	0.6282194803
1354	0.6281871034
1355	0.6281493623
1356	0.6281067799
1357	0.6280615117
1358	0.6280204407
1359	0.6279994883
1360	0.6279857744
1361	0.6279333757
1362	0.6279181852
1363	0.6278843342
1364	0.6278434586
1365	0.6278167993
1366	0.6277780359
1367	0.6277539173
1368	0.6277309166
1369	0.6276820349
1370	0.6276207776
1371	0.6275982325
1372	0.6275607989
1373	0.6274966682
1374	0.6274429546
1375	0.6273933443
1376	0.6273560167
1377	0.6273126215
1378	0.6272789903
1379	0.6272430883
1380	0.6271991148
1381	0.6271801652
1382	0.6271511241
1383	0.6271253701
1384	0.6270853925
1385	0.6270495043
1386	0.6270028199
1387	0.6269280757
1388	0.6268941175
1389	0.6268366869
1390	0.6268150598
1391	0.626777319
1392	0.6267286491
1393	0.6266971421
1394	0.6266678811
1395	0.6266405269
1396	0.6265972333
1397	0.6265628167
1398	0.6265333627
1399	0.6264658727
1400	0.6264390504
1401	0.6263878667
1402	0.6263424489
1403	0.6263217994
1404	0.6262855781
1405	0.6262660627
1406	0.626238361
1407	0.6262115266
1408	0.6261684894
1409	0.6261549183
1410	0.6261176566
1411	0.6260839491
1412	0.626048686
1413	0.6260161246
1414	0.6259960426
1415	0.625952642
1416	0.6258949953
1417	0.6258485961
1418	0.6258252654
1419	0.6257714721
1420	0.6257266906
1421	0.625698884
1422	0.625672831
1423	0.6256332552
1424	0.6256121096
1425	0.6255723572
1426	0.6255498698
1427	0.6255279945
1428	0.6254966027
1429	0.6254633376
1430	0.6254291962
1431	0.6253907873
1432	0.6253680624
1433	0.6253176398
1434	0.6252702632
1435	0.6252251029
1436	0.625208395
1437	0.625179824
1438	0.625157433
1439	0.6251233832
1440	0.6251008111
1441	0.6250592144
1442	0.6250274059
1443	0.6249982218
1444	0.6249493889
1445	0.6249287704
1446	0.6248911648
1447	0.6248573032
1448	0.6248185587
1449	0.624790786
1450	0.6247739863
1451	0.6247295717
1452	0.6246844665
1453	0.6246535436
1454	0.6246236525
1455	0.6246004045
1456	0.6245701451
1457	0.6245281999
1458	0.6244959405
1459	0.6244631147
1460	0.6244425768
1461	0.6244104417
1462	0.6243756877
1463	0.6243499134
1464	0.624324235
1465	0.6242682526
1466	0.6242234902
1467	0.624197535
1468	0.6241605204
1469	0.624122922
1470	0.6240751497
1471	0.624040853
1472	0.6240166009
1473	0.6239795827
1474	0.6239514497
1475	0.6239174381
1476	0.6238957789
1477	0.6238703393
1478	0.6238423067
1479	0.6238074798
1480	0.6237804408
1481	0.6237419235
1482	0.6237185004
1483	0.6236795707
1484	0.6236508438
1485	0.623620044
1486	0.6235818913
1487	0.6235554743
1488	0.6235083026
1489	0.6234695099
1490	0.6234429669
1491	0.6234199467
1492	0.6233915099
1493	0.6233382246
1494	0.6233218882
1495	0.6232809708
1496	0.6232620218
1497	0.6232370867
1498	0.6232223311
1499	0.6231938078
1500	0.6231501183
1501	0.6231251016
1502	0.6230786918
1503	0.6230465
1504	0.6230198426
