iter	Passed	Remaining
1366	11388	5273
1367	11395	5264
1368	11405	5256
1369	11415	5249
1370	11424	5241
1371	11432	5232
1372	11440	5224
1373	11449	5216
1374	11457	5207
1375	11466	5200
1376	11475	5191
1377	11484	5183
1378	11493	5175
1379	11501	5167
1380	11510	5159
1381	11518	5150
1382	11525	5142
1383	11534	5133
1384	11542	5125
1385	11551	5117
1386	11559	5108
1387	11569	5101
1388	11577	5092
1389	11586	5084
1390	11593	5075
1391	11601	5067
1392	11610	5059
1393	11618	5050
1394	11625	5042
1395	11633	5033
1396	11641	5024
1397	11650	5016
1398	11659	5008
1399	11668	5000
1400	11676	4992
1401	11685	4984
1402	11693	4975
1403	11700	4967
1404	11708	4958
1405	11715	4949
1406	11722	4940
1407	11729	4931
1408	11736	4922
1409	11744	4914
1410	11751	4905
1411	11758	4896
1412	11769	4889
1413	11777	4881
1414	11786	4872
1415	11795	4864
1416	11804	4856
1417	11812	4848
1418	11821	4840
1419	11829	4831
1420	11838	4823
1421	11845	4814
1422	11852	4806
1423	11863	4798
1424	11872	4790
1425	11881	4782
1426	11891	4774
1427	11900	4766
1428	11908	4758
1429	11916	4749
1430	11923	4741
1431	11931	4732
1432	11938	4723
1433	11947	4715
1434	11957	4708
1435	11968	4700
1436	11977	4692
1437	11986	4684
1438	11997	4677
1439	12009	4670
1440	12018	4662
1441	12029	4655
1442	12039	4647
1443	12052	4640
1444	12062	4633
1445	12073	4625
1446	12081	4617
1447	12089	4608
1448	12097	4600
1449	12106	4592
1450	12114	4583
1451	12123	4575
1452	12130	4566
1453	12138	4558
1454	12146	4549
1455	12155	4541
1456	12163	4533
1457	12171	4524
1458	12178	4515
1459	12185	4507
1460	12193	4498
1461	12201	4489
1462	12209	4481
1463	12217	4473
1464	12226	4464
1465	12234	4456
1466	12242	4447
1467	12249	4439
1468	12258	4430
1469	12266	4422
1470	12273	4413
1471	12280	4405
1472	12289	4396
1473	12297	4388
1474	12305	4379
1475	12314	4371
1476	12323	4363
1477	12335	4356
1478	12343	4348
1479	12352	4340
1480	12361	4331
1481	12371	4324
1482	12379	4315
1483	12388	4307
1484	12396	4299
1485	12405	4291
1486	12414	4282
1487	12422	4274
1488	12430	4266
1489	12439	4257
1490	12447	4249
1491	12455	4240
1492	12462	4232
1493	12471	4223
1494	12478	4215
1495	12487	4206
1496	12494	4198
1497	12501	4189
1498	12510	4181
1499	12519	4173
1500	12526	4164
1501	12534	4155
1502	12543	4147
1503	12551	4139
1504	12559	4130
1505	12569	4123
1506	12578	4114
1507	12588	4106
1508	12595	4098
1509	12604	4090
1510	12612	4081
1511	12620	4073
1512	12628	4064
1513	12639	4057
1514	12646	4048
1515	12655	4040
1516	12662	4031
1517	12672	4023
1518	12680	4015
1519	12691	4007
1520	12700	3999
1521	12720	3995
1522	12730	3987
1523	12741	3979
